Mercury	[sound:element-mercury.mp3]	[sound:element-80.mp3]	"<img src=""element-80.png"">"	"<img src=""element-labels.png"">"	
Thallium	[sound:element-thallium.mp3]	[sound:element-81.mp3]	"<img src=""element-81.png"">"	"<img src=""element-labels.png"">"	
Lead	[sound:element-lead.mp3]	[sound:element-82.mp3]	"<img src=""element-82.png"">"	"<img src=""element-labels.png"">"	
Bismuth	[sound:element-bismuth.mp3]	[sound:element-83.mp3]	"<img src=""element-83.png"">"	"<img src=""element-labels.png"">"	
Polonium	[sound:element-polonium.mp3]	[sound:element-84.mp3]	"<img src=""element-84.png"">"	"<img src=""element-labels.png"">"	
Astatine	[sound:element-astatine.mp3]	[sound:element-85.mp3]	"<img src=""element-85.png"">"	"<img src=""element-labels.png"">"	
Radon	[sound:element-radon.mp3]	[sound:element-86.mp3]	"<img src=""element-86.png"">"	"<img src=""element-labels.png"">"	
Francium	[sound:element-francium.mp3]	[sound:element-87.mp3]	"<img src=""element-87.png"">"	"<img src=""element-labels.png"">"	
Radium	[sound:element-radium.mp3]	[sound:element-88.mp3]	"<img src=""element-88.png"">"	"<img src=""element-labels.png"">"	
Actinium	[sound:element-actinium.mp3]	[sound:element-89.mp3]	"<img src=""element-89.png"">"	"<img src=""element-labels.png"">"	
Thorium	[sound:element-thorium.mp3]	[sound:element-90.mp3]	"<img src=""element-90.png"">"	"<img src=""element-labels.png"">"	
Protactinium	[sound:element-protactinium.mp3]	[sound:element-91.mp3]	"<img src=""element-91.png"">"	"<img src=""element-labels.png"">"	
Uranium	[sound:element-uranium.mp3]	[sound:element-92.mp3]	"<img src=""element-92.png"">"	"<img src=""element-labels.png"">"	
Neptunium	[sound:element-neptunium.mp3]	[sound:element-93.mp3]	"<img src=""element-93.png"">"	"<img src=""element-labels.png"">"	
Plutonium	[sound:element-plutonium.mp3]	[sound:element-94.mp3]	"<img src=""element-94.png"">"	"<img src=""element-labels.png"">"	
Americium	[sound:element-americium.mp3]	[sound:element-95.mp3]	"<img src=""element-95.png"">"	"<img src=""element-labels.png"">"	
Curium	[sound:element-curium.mp3]	[sound:element-96.mp3]	"<img src=""element-96.png"">"	"<img src=""element-labels.png"">"	
Berkelium	[sound:element-berkelium.mp3]	[sound:element-97.mp3]	"<img src=""element-97.png"">"	"<img src=""element-labels.png"">"	
Californium	[sound:element-californium.mp3]	[sound:element-98.mp3]	"<img src=""element-98.png"">"	"<img src=""element-labels.png"">"	
Einsteinium	[sound:element-einsteinium.mp3]	[sound:element-99.mp3]	"<img src=""element-99.png"">"	"<img src=""element-labels.png"">"	
Fermium	[sound:element-fermium.mp3]	[sound:element-100.mp3]	"<img src=""element-100.png"">"	"<img src=""element-labels.png"">"	
Mendelevium	[sound:element-mendelevium.mp3]	[sound:element-101.mp3]	"<img src=""element-101.png"">"	"<img src=""element-labels.png"">"	
Nobelium	[sound:element-nobelium.mp3]	[sound:element-102.mp3]	"<img src=""element-102.png"">"	"<img src=""element-labels.png"">"	
Lawrencium	[sound:element-lawrencium.mp3]	[sound:element-103.mp3]	"<img src=""element-103.png"">"	"<img src=""element-labels.png"">"	
Rutherfordium	[sound:element-rutherfordium.mp3]	[sound:element-104.mp3]	"<img src=""element-104.png"">"	"<img src=""element-labels.png"">"	
Dubnium	[sound:element-dubnium.mp3]	[sound:element-105.mp3]	"<img src=""element-105.png"">"	"<img src=""element-labels.png"">"	
Seaborgium	[sound:element-seaborgium.mp3]	[sound:element-106.mp3]	"<img src=""element-106.png"">"	"<img src=""element-labels.png"">"	
Bohrium	[sound:element-bohrium.mp3]	[sound:element-107.mp3]	"<img src=""element-107.png"">"	"<img src=""element-labels.png"">"	
Hassium	[sound:element-hassium.mp3]	[sound:element-108.mp3]	"<img src=""element-108.png"">"	"<img src=""element-labels.png"">"	
Meitnerium	[sound:element-meitnerium.mp3]	[sound:element-109.mp3]	"<img src=""element-109.png"">"	"<img src=""element-labels.png"">"	
Darmstadtium	[sound:element-darmstadtium.mp3]	[sound:element-110.mp3]	"<img src=""element-110.png"">"	"<img src=""element-labels.png"">"	
Roentgenium	[sound:element-roentgenium.mp3]	[sound:element-111.mp3]	"<img src=""element-111.png"">"	"<img src=""element-labels.png"">"	
Copernicium	[sound:element-copernicium.mp3]	[sound:element-112.mp3]	"<img src=""element-112.png"">"	"<img src=""element-labels.png"">"	
Nihonium	[sound:element-nihonium.mp3]	[sound:element-113.mp3]	"<img src=""element-113.png"">"	"<img src=""element-labels.png"">"	
Flerovium	[sound:element-flerovium.mp3]	[sound:element-114.mp3]	"<img src=""element-114.png"">"	"<img src=""element-labels.png"">"	
Moscovium	[sound:element-moscovium.mp3]	[sound:element-115.mp3]	"<img src=""element-115.png"">"	"<img src=""element-labels.png"">"	
Livermorium	[sound:element-livermorium.mp3]	[sound:element-116.mp3]	"<img src=""element-116.png"">"	"<img src=""element-labels.png"">"	
Tennessine	[sound:element-tennessine.mp3]	[sound:element-117.mp3]	"<img src=""element-117.png"">"	"<img src=""element-labels.png"">"	
Oganesson	[sound:element-oganesson.mp3]	[sound:element-118.mp3]	"<img src=""element-118.png"">"	"<img src=""element-labels.png"">"	
H	[sound:element-h.mp3]	[sound:element-hydrogen.mp3]	"<img src=""element-1.png"">"	"<img src=""element-labels.png"">"	
He	[sound:element-he.mp3]	[sound:element-helium.mp3]	"<img src=""element-2.png"">"	"<img src=""element-labels.png"">"	
Li	[sound:element-li.mp3]	[sound:element-lithium.mp3]	"<img src=""element-3.png"">"	"<img src=""element-labels.png"">"	
Be	[sound:element-be.mp3]	[sound:element-beryllium.mp3]	"<img src=""element-4.png"">"	"<img src=""element-labels.png"">"	
B	[sound:element-b.mp3]	[sound:element-boron.mp3]	"<img src=""element-5.png"">"	"<img src=""element-labels.png"">"	
C	[sound:element-c.mp3]	[sound:element-carbon.mp3]	"<img src=""element-6.png"">"	"<img src=""element-labels.png"">"	
N	[sound:element-n.mp3]	[sound:element-nitrogen.mp3]	"<img src=""element-7.png"">"	"<img src=""element-labels.png"">"	
O	[sound:element-o.mp3]	[sound:element-oxygen.mp3]	"<img src=""element-8.png"">"	"<img src=""element-labels.png"">"	
F	[sound:element-f.mp3]	[sound:element-fluorine.mp3]	"<img src=""element-9.png"">"	"<img src=""element-labels.png"">"	
Ne	[sound:element-ne.mp3]	[sound:element-neon.mp3]	"<img src=""element-10.png"">"	"<img src=""element-labels.png"">"	
Na	[sound:element-na.mp3]	[sound:element-sodium.mp3]	"<img src=""element-11.png"">"	"<img src=""element-labels.png"">"	
Mg	[sound:element-mg.mp3]	[sound:element-magnesium.mp3]	"<img src=""element-12.png"">"	"<img src=""element-labels.png"">"	
Al	[sound:element-al.mp3]	[sound:element-aluminium.mp3]	"<img src=""element-13.png"">"	"<img src=""element-labels.png"">"	
Si	[sound:element-si.mp3]	[sound:element-silicon.mp3]	"<img src=""element-14.png"">"	"<img src=""element-labels.png"">"	
